minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
6,10,,0,Gain # Life per Bleeding Enemy Hit,,Gain ([+-]?([0-9]*[.])?[0-9]+) Life per Bleeding Enemy Hit,249
11,20,,0,Gain # Life per Bleeding Enemy Hit,,Gain ([+-]?([0-9]*[.])?[0-9]+) Life per Bleeding Enemy Hit,250
7,13,,0,#% increased Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds,251
14,20,,0,#% increased Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds,252
15,25,,0,#% increased Effect of Onslaught on you,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Onslaught on you,253
26,40,,0,#% increased Effect of Onslaught on you,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Onslaught on you,254
10,15,,0,#% chance to gain Phasing for 4 seconds on Kill,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain Phasing for 4 seconds on Kill,255
16,25,,0,#% chance to gain Phasing for 4 seconds on Kill,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain Phasing for 4 seconds on Kill,256
5,9,,0,+#% chance to Suppress Spell Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage,257
10,15,,0,+#% chance to Suppress Spell Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage,258
10,15,,0,#% chance to Avoid Elemental Ailments while Phasing,,([+-]?([0-9]*[.])?[0-9]+)% chance to Avoid Elemental Ailments while Phasing,259
16,25,,0,#% chance to Avoid Elemental Ailments while Phasing,,([+-]?([0-9]*[.])?[0-9]+)% chance to Avoid Elemental Ailments while Phasing,260
10,15,,0,#% chance to gain Onslaught for 4 seconds on Kill,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain Onslaught for 4 seconds on Kill,261
16,25,,0,#% chance to gain Onslaught for 4 seconds on Kill,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain Onslaught for 4 seconds on Kill,262
3,5,,0,#% increased Evasion Rating per Frenzy Charge,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Evasion Rating per Frenzy Charge,263
6,9,,0,#% increased Evasion Rating per Frenzy Charge,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Evasion Rating per Frenzy Charge,264
3,5,,0,#% chance to gain a Frenzy Charge on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain a Frenzy Charge on Hit,265
6,8,,0,#% chance to gain a Frenzy Charge on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain a Frenzy Charge on Hit,266
6,10,,0,Magic Utility Flasks applied to you have #% increased Effect,,Magic Utility Flasks applied to you have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect,267
11,15,,0,Magic Utility Flasks applied to you have #% increased Effect,,Magic Utility Flasks applied to you have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect,268
6,10,,0,#% chance to inflict Withered for 2 seconds on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to inflict Withered for 2 seconds on Hit,269
11,15,,0,#% chance to inflict Withered for 2 seconds on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to inflict Withered for 2 seconds on Hit,270
2,3,,0,Recover #% of Life when you use a Flask,,Recover ([+-]?([0-9]*[.])?[0-9]+)% of Life when you use a Flask,271
4,5,,0,Recover #% of Life when you use a Flask,,Recover ([+-]?([0-9]*[.])?[0-9]+)% of Life when you use a Flask,272
7,13,,0,#% increased Effect of Withered,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Withered,273
14,20,,0,#% increased Effect of Withered,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Withered,274
15,25,,0,Enemies you Kill that are affected by Elemental Ailments grant #% increased Flask Charges,,Enemies you Kill that are affected by Elemental Ailments grant ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Flask Charges,275
26,40,,0,Enemies you Kill that are affected by Elemental Ailments grant #% increased Flask Charges,,Enemies you Kill that are affected by Elemental Ailments grant ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Flask Charges,276
5,8,,0,Gain #% of Physical Damage as Extra Damage of a random Element,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Damage of a random Element,277
9,12,,0,Gain #% of Physical Damage as Extra Damage of a random Element,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Damage of a random Element,278
,,,0,Movement Speed cannot be modified to below base value,True,,279
,,,0,"2% of Armour applies to Fire, Cold and Lightning Damage taken from Hits",True,,280
,,,0,"3% of Armour applies to Fire, Cold and Lightning Damage taken from Hits",True,,281
,,,0,Totems Taunt Enemies around them for 2 seconds when Summoned,True,,282
,,,0,"Enemies you or your Totems Kill have 1% chance to Explode, dealing 500% of their maximum Life as Fire Damage",True,,283
,,,0,+1% to maximum Fire Resistance,True,,284
,,,0,+2% to maximum Fire Resistance,True,,285
,,,0,Cannot be Stunned while you have at least 25 Rage,True,,286
,,,0,1% of Attack Damage Leeched as Life and Mana if you've Killed Recently,True,,287
,,,0,2% of Attack Damage Leeched as Life and Mana if you've Killed Recently,True,,288
,,,0,Cannot be Stunned while Fortified,True,,289
,,,0,Banner Skills have no Reservation,True,,290
,,,0,Gain Adrenaline for 4 seconds when you reach Low Life,True,,291
,,,0,Impales you inflict last 1 additional Hit,True,,292
,,,0,Cannot be Stunned by Hits you Block,True,,293
,,,0,+3% to maximum Chance to Block Attack Damage,True,,294
,,,0,Hits ignore Enemy Monster Physical Damage Reduction if you've Blocked in the past 20 seconds,True,,295
,,,0,Cannot take Reflected Physical Damage,True,,296
,,,0,Cannot be Stunned while Leeching,True,,297
,,,0,You are Unaffected by Bleeding while Leeching,True,,298
,,,0,Culling Strike,True,,299
,,,0,Effects of Consecrated Ground you create Linger for 2 seconds,True,,300
,,,0,3% of Damage is taken from Mana before Life,True,,301
,,,0,Gain Arcane Surge when you or your Totems Hit an Enemy with a Spell,True,,302
,,,0,3% of Damage from Hits is taken from your nearest Totem's Life before you,True,,303
,,,0,+1 to Minimum Endurance Charges,True,,304
,,,0,+1 to Minimum Power Charges,True,,305
,,,0,"Every 4 seconds, remove Curses and Elemental Ailments from you",True,,306
,,,0,Enemies in your Link Beams cannot apply Elemental Ailments,True,,307
,,,0,"Every 4 seconds, Regenerate 10% of Life over one second",True,,308
,,,0,"Every 4 seconds, Regenerate 20% of Life over one second",True,,309
,,,0,"Nearby Enemies cannot gain Power, Frenzy or Endurance Charges",True,,310
,,,0,"While there are at least five nearby Allies, you and nearby Allies have Onslaught",True,,311
,,,0,All Damage can Ignite,True,,312
,,,0,Cannot take Reflected Elemental Damage,True,,313
,,,0,Your Hexes can affect Hexproof Enemies,True,,314
,,,0,4% increased Area of Effect per Power Charge,True,,315
,,,0,Nearby Enemies are Chilled,True,,316
,,,0,Critical Strikes have Culling Strike,True,,317
,,,0,Damage from your Critical Strikes cannot be Reflected,True,,318
,,,0,You take no Extra Damage from Critical Strikes while Elusive,True,,319
,,,0,"3% increased Poison Duration for each Poison you have inflicted Recently, up to a maximum of 100%",True,,320
,,,0,Cannot be Blinded,True,,321
,,,0,Recover 1% of Life on Kill,True,,322
,,,0,Recover 1% of Energy Shield on Kill,True,,323
,,,0,Recover 1% of Mana on Kill,True,,324
,,,0,Recover 2% of Life on Kill,True,,325
,,,0,Recover 2% of Energy Shield on Kill,True,,326
,,,0,Recover 2% of Mana on Kill,True,,327
,,,0,Projectile Barrages have no spread,True,,328
,,,0,Skills fire an additional Projectile,True,,329
,,,0,2% increased Movement Speed per Frenzy Charge,True,,330
,,,0,Flasks gain a Charge every 3 seconds,True,,331
,,,0,Removes Bleeding when you use a Flask,True,,332
